speciesid	SRR6154999	SRR6155000	SRR6155001	SRR6155002	SRR6155003	SRR6155004	SRR6155005	SRR6155006	SRR6155007	SRR6155008	SRR6155009	SRR6155010	SRR6155011	SRR6155012	SRR6155013	SRR5947117	SRR5947118	SRR5947119	SRR5947120	SRR5947121	SRR5947122	SRR5947123	SRR5947124	SRR5947125	SRR5947126	SRR5947127	SRR5947128	SRR5947129	SRR5947130	SRR5947131
119840	268	187	193	260	291	219	145	263	188	202	377	299	257	173	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127807	175	98	111	156	132	86	109	157	179	88	263	162	148	130	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116194	197	122	178	508	133	481	296	322	642	480	904	494	684	570	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132046	100	111	89	137	143	104	99	119	75	64	131	157	101	105	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116718	336	239	198	323	296	228	195	307	283	183	473	303	241	247	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146853	285	180	218	305	278	249	173	302	281	167	487	347	268	226	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138125	271	176	199	279	216	257	181	198	234	179	468	324	271	230	418	609	400	218	674	936	791	468	518	1273	587	831	557	595	288	539
145238	286	270	226	292	307	207	207	266	258	158	413	320	247	211	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117154	250	140	142	199	163	152	131	229	205	124	281	268	166	169	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124953	255	144	127	279	202	168	163	230	239	167	406	294	226	195	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142861	218	158	148	239	190	141	107	169	146	114	308	194	171	137	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103830	186	161	102	176	167	95	127	181	123	83	269	172	145	112	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109314	153	89	96	163	134	126	104	162	154	88	265	184	155	153	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125605	141	101	92	179	131	125	94	160	162	99	271	163	156	134	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123635	164	84	73	128	117	98	80	96	104	97	212	121	136	127	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112916	186	83	73	172	145	131	96	134	141	117	234	160	151	135	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109670	165	96	126	170	117	141	96	109	143	123	288	140	152	137	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117523	144	67	90	162	123	105	89	100	96	89	242	127	123	113	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
